PlayerID,Player,Team,Positions,Games,GS,W,L,SV,IP,Outs,SO,BB,ERA,WHIP
702047,Alex Cook,Tampa Bay Rays,P,4,0,0,0,0,5.2,17,5,2,4.76,1.06
678906,Kai-Wei Teng,Houston Astros,P,30,10,5,7,0,73.2,221,73,33,4.76,1.38
687911,Bryan King,Houston Astros,P,57,1,3,5,6,58.1,175,46,21,4.78,1.44
664076,Garrett Cleavinger,Tampa Bay Rays,P,51,0,4,4,2,41.1,124,54,22,4.79,1.43
657612,Tim Hill,New York Yankees,P,64,0,5,2,2,56.1,169,25,13,4.79,1.14
594580,Sam Moll,Cincinnati Reds,P,65,0,2,7,1,56.1,169,56,30,4.79,1.49
660853,Enyel De Los Santos,Houston Astros,P,66,0,3,3,5,71.1,214,67,20,4.79,1.25
686218,Emmet Sheehan,Los Angeles Dodgers,P,22,22,5,8,0,107.0,321,123,32,4.79,1.21
669684,Chris Murphy,Chicago White Sox,P,33,3,3,0,1,33.2,101,35,16,4.81,1.43
696062,Wilber Dotel,Pittsburgh Pirates,P,20,2,1,5,0,37.1,112,38,15,4.82,1.39
573204,Caleb Thielbar,Chicago Cubs,P,55,0,3,3,3,46.2,140,58,18,4.82,1.33
695534,Chase Petty,Cincinnati Reds,P,16,3,1,2,1,31.2,95,15,9,4.83,1.26
666142,Cole Ragans,Kansas City Royals,P,8,8,1,4,0,35.1,106,45,23,4.84,1.42
689520,Cody Laweryson,Minnesota Twins,P,15,0,1,0,1,16.2,50,18,8,4.86,1.38
642701,Dennis Santana,Arizona Diamondbacks,P,55,0,2,5,3,53.2,161,48,23,4.86,1.34
701519,Travis Adams,Minnesota Twins,P,38,0,3,0,3,55.1,166,55,24,4.88,1.34
693313,Carson Seymour,San Francisco Giants,P,21,0,0,2,1,27.2,83,21,16,4.88,1.63
696270,Ryan Johnson,Los Angeles Angels,P,20,17,5,8,0,90.1,271,70,39,4.88,1.34
669194,Ryne Nelson,Arizona Diamondbacks,P,16,15,3,5,0,84.2,254,62,24,4.89,1.25
681293,Spencer Arrighetti,Toronto Blue Jays,P,23,19,8,9,0,108.1,325,104,62,4.9,1.38
542888,Shawn Armstrong,Cleveland Guardians,P,38,0,2,1,0,33.0,99,33,19,4.91,1.45
668873,Caleb Kilian,Philadelphia Phillies,P,49,0,4,7,8,47.2,143,56,22,4.91,1.36
545121,Ildemaro Vargas,Arizona Diamondbacks,"1B, 2B, 3B, DH, LF, P, SS",3,0,0,0,0,3.2,11,0,3,4.91,1.64
687570,Connor Prielipp,Minnesota Twins,P,23,21,6,7,0,120.1,361,125,42,4.94,1.3
689546,Nick Davila,Seattle Mariners,P,24,0,0,0,1,27.1,82,13,13,4.94,1.35
676742,Cam Sanders,Baltimore Orioles,P,26,0,1,1,3,27.1,82,35,19,4.94,1.5
